접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2022-0390,까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-03-31,2022-04-01,DOA,,냉동(신냉동창고)(투입박스(일반)),Unknown,Adult,36.00.375,126.41.269,8,,,프린스모텔 옥상,충남 서천군 장항읍 장마로22번길 13,건물옆, - 전선/건물과의 충돌,유리 구조물 충돌,,,,,178,178,유리창 충돌(추정)에 의한 신경 손상 의심
2022-1530,물까치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-07-04,2022-07-04,안락사,,기타,Unknown,Juvenile,36.05.442,126.49.247,33,,,모시송편집 근처 나무 아래,충남 서천군 한산면 단상리 353-2,숲, - 어미를 잃음(미아),어미를 잃음(미아),,,,,38,38,좌측 주관절 탈구(개방성)
2022-1106,어치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-06-04,2022-06-04,폐사체,,폐기,Unknown,Juvenile,36.01.184,126.39.585,12,,,건물옆,충남 서천군 장항읍 장항산단로34번길 72-40,건물옆, - 어미를 잃음(미아),어미를 잃음(미아),,,,,0,0,확인 불가
2022-1624,어치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-07-13,2022-07-13,안락사,,폐기,Unknown,Juvenile,36.01.197,126.39.549,13,,,서천유스호스텔 인근 산책로 상,충남 서천군 장항읍 송림리 762-55,숲, - 어미를 잃음(미아),어미를 잃음(미아),,,,,100,100,"양쪽 다리 마비, 흉추 T6 탈구 "
2022-1861,어치,조강(Aves),참새목,까마귀과,해당없음,해당없음,해당없음,2022-08-09,2022-08-09,안락사,,기타(협조),Unknown,Unknown,36.01.194,126.39.582,12,,,서천유스호스텔,충남 서천군 장항읍 송림리 762-85,건물옆, - 전선/건물과의 충돌,전선과의 충돌//추정,,,,,110,110,"좌측 상완골 원위부, 요골 페쇄골절"
2022-2003,꾀꼬리,조강(Aves),참새목,꾀꼬리과,해당없음,해당없음,해당없음,2022-09-03,2022-09-04,DOA,,기타(협조),Unknown,Unknown,36.09.157,126.32.203,6,,,건물옆 인도,충남 서천군 서면 서인로693번길 50-12,건물옆, - 전선/건물과의 충돌,유리 구조물 충돌/가정집 유리창,,,,,106,106,유리창 충돌에 의한 뇌진탕 및 척추 손상 의심
2022-1460,박새,조강(Aves),참새목,박새과,해당없음,해당없음,해당없음,2022-06-29,2022-07-04,폐사,,냉동(신냉동창고)(투입박스(일반)),Unknown,Unknown,36.00.083,126.43.366,11,,,주소지 인근 가택 옆 생활도로,충남 서천군 장항읍 원수리 132-74,건물옆, - 어미를 잃음(미아),어미를 잃음(미아),,,,,9.3,8.25,미아
2022-0127,직박구리,조강(Aves),참새목,직박구리과,해당없음,해당없음,해당없음,2022-01-09,2022-01-09,방생,충남 서천군 판교면 종판로901번길 12,,Unknown,Adult,36.09.180,126.41.274,35,,,음식점,충남 서천군 판교면 종판로901번길 12,건물옆, - 전선/건물과의 충돌,유리 구조물 충돌,,,,,0,0,미약한 뇌진탕
2022-1709,직박구리,조강(Aves),참새목,직박구리과,해당없음,해당없음,해당없음,2022-07-21,2022-07-22,DOA,,폐기,Unknown,Juvenile,36.04.378,126.42.003,8,,,주소지 인근 도로변,충남 서천군 서천읍 군사리 159-8,도로변, - 어미를 잃음(미아),어미를 잃음(미아),,,,,29.68,29.68,미아
2022-1020,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2022-05-31,2022-06-05,폐사,,폐기,Unknown,Nestling,36.05.573,126.45.542,9,,,주소지 조립식 건물 보일러 연통 내,충남 서천군 기산면 월기리 272-2,건물옆, - 어미를 잃음(미아),어미를 잃음(미아),,,,,4.67,3.49,개안도 하지 않은 아주 어린 미아 개체
2022-1408,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2022-06-25,2022-06-25,폐사체,,냉동(신냉동창고)(투입박스(일반)),Unknown,Juvenile,36.00.334,126.41.006,4,,,주식회사 풍농 정문 인근 도로상,충남 서천군 장항읍 신창리 420-21,도로변, - 어미를 잃음(미아),어미를 잃음(미아),,,,,10.3,10.3,전신 깃이 오염되어 있는 미아 개체
2022-2374,쇠백로,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2022-11-27,2022-11-27,안락사,,냉동(신냉동창고)(투입박스(일반)),Unknown,Unknown,36.06.280,126.37.079,0,,,농경지 ,충남 서천군 비인면 다사리 110,농경지, - 전선/건물과의 충돌,전선충돌 ,,,,,300,300,요척골 부정유합
2022-1436,왜가리,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2022-06-28,2022-06-28,DOA,,기타,Unknown,Juvenile,36.04.160,126.40.582,4,,,,충남 서천군 서천읍 남산리 275,건물옆, - 어미를 잃음(미아),어미를 잃음(미아),,,,,812,812,"미아, 기아 "
2022-1759,왜가리,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2022-07-25,2022-07-25,DOA,,냉동(신냉동창고)(투입박스(일반)),Unknown,Unknown,36.04.491,126.41.287,25,,,발견지 누락으로 인계지 주소 기입 ,충남 서천군 서천읍 군사리 356-1,건물옆, - 알 수 없는 사고,알 수 없는 사고,,,,,628,628,우안 파열 의심
2022-1763,왜가리,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2022-07-26,2022-08-01,방생,충남 서천군 마서면 도삼리 185-5,,Unknown,Nestling,36.01.232,126.44.168,3,,,하구둑 인근 양식장 내,충남 서천군 마서면 도삼리 185-15,"강, 바다", - 어미를 잃음(미아),어미를 잃음(미아),,,,,"1,440","1,342",미아
2022-2174,왜가리,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2022-10-13,2023-01-14,방생,충남 서천군 마서면 어리 226-8,,Unknown,Adult,36.00.302,126.41.077,5,,,장항 항구 인근,충남 서천군 장항읍 장산로 232,"강, 바다", - 인공구조물에 얽힘,인공구조물에 얽힘,,,,,"1,574","1,442",아래 부리와 우측 날개 말단 찰과상
2022-2175,왜가리,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2022-10-14,2022-12-18,방생,충남 서산시 대산읍 운산리 1516-1,,Unknown,Adult,36.03.264,126.42.226,6,,,도로변,충남 서천군 마서면 계동리 31-1,도로변, - 차량과의 충돌,차량과의 충돌,,,,,"1,098","1,004",차량 충돌에 의한 우안 손상 및 진구성 우측 발 골절
2022-1819,중대백로㉵,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2022-08-02,2022-08-02,DOA,,폐기,Unknown,Juvenile,36.04.528,126.41.374,51,,,서천군청 구내식당 뒤 콘크리트 옹벽 사이,충남 서천군 서천읍 군사리 356-17,건물옆, - 어미를 잃음(미아),어미를 잃음(미아),,,,,494,494,둥지 이탈에 의한 뇌진탕 추정
2022-2104,해오라기,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2022-09-24,2022-10-21,안락사,,냉동(신냉동창고)(투입박스(일반)),Unknown,Juvenile,36.04.404,126.41.261,12,,,서천 목욕탕앞 주자창,충남 서천군 서천읍 서천로84번길,건물옆, - 전선/건물과의 충돌,전선과의 충돌/,,,,,296,329.3,전선 충돌에 의한 좌측 주관절 탈구
2022-1484,황로,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2022-06-30,2022-07-01,DOA,,폐기,Unknown,Juvenile,36.04.461,126.41.293,18,,,주소지 사무실 앞,충남 서천군 서천읍 군청로 53,건물옆, - 어미를 잃음(미아),어미를 잃음(미아),,,,,268,268,"미아, 승저증"
