접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2021-0754,왜가리,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2021-05-26,2021-05-27,폐사체,,기타,Unknown,Unknown,36.108694,127.487639,170,,,발견지 주소가 누락으로 인계지 주소 설정,충청남도 금산군 금산읍 상리 25-1,건물옆,기아 및 탈진,기아 및 탈진,36 06 31.3,127 29 15.5,,,834,834,기아 및 탈진 추정
2021-1045,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-06-15,2021-06-15,안락사,,기타,Male,2년1월0일,36.201583,127.354944,163,,,채석장 절벽,충청남도 금산군 진산면 막현리 299-5,숲,추락,추락,36 12 05.7,127 21 17.8,,,14040,14040,골반 골절 및 목쪽 열상
2021-1091,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-06-20,2021-06-23,폐사,,기타,Unknown,0년0월20일,36.152583,127.326306,294,,,에딘버러컨트리클럽 골프장,충청남도 금산군 진산면 행정리 산 473-5,기타,어미를 잃음(미아),어미를 잃음(미아),36 09 09.3,127 19 34.7,,,830,812,단순 미아
2021-1656,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-09-15,2021-09-15,폐사체,,기타,Female,0년0월0일,36.168056,127.484694,215,,,고속도로 위,충청남도 금산군 금성면 대암리 362-4,도로변,차량과의 충돌,차량과의 충돌,36 10 05.0,127 29 04.9,,,17560,17560,우측 골반뼈 골절
2021-1898,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-11-15,2021-11-15,안락사,,기타,Male,0년0월0일,36.223917,127.51225,174,,,도로변,충청남도 금산군 추부면 신평리 147-7,도로변,차량과의 충돌,차량과의 충돌,36 13 26.1,127 30 44.1,,,13760,13760,L6 골절
2021-0139,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-01-29,2021-01-30,DOA,,기타,Female,0년0월0일,36.157,127.476944,224,,,금성공단단지,충청남도 금산군 금성면 하신리 754,건물옆,기생충 중감염,기생충 중감염/개선충 감염,36 09 25.2,127 28 37.0,,,3120,3120,"만성 염증으로 인한 쇼크, 빈혈"
2021-0414,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-04-20,2021-06-11,방생,충청남도 아산시 음봉면 산정리 32-1,,Unknown,0년0월0일,36.088278,127.532139,171,36.85554797,127.0073085,주소지 부근 주택 ,충청남도 금산군 부리면 선원리 1158,건물옆,기생충 중감염,기생충 중감염/개선충 감염 ,36 05 17.8,127 31 55.7,36 51 19.8,127 00 26.2,4580,5340,개선충중감염
2021-0775,오소리,포유강(Mammalia),식육목,족제비과,해당없음,해당없음,해당없음,2021-05-29,2021-05-29,폐사체,,기타,Male,0년0월0일,36.072028,127.579861,155,,,도로변,충청남도 금산군 부리면 예미리 333-1,도로변,차량과의 충돌,차량과의 충돌,36 04 19.3,127 34 47.5,,,0,0,차량 충돌에 의한 폐사
2022-0276,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2022-02-26,2022-02-26,DOA,,폐기,Unknown,Adult,36.04.356,127.30.183,150,,,도로변,충남 금산군 남일면 황풍리 607,도로변,차량과의 충돌,차량과의 충돌,,,,,"1,170","1,170","목쪽 열상, 좌측 골반 골절"
2022-2179,붉은머리오목눈이,조강(Aves),참새목,붉은머리오목눈이과,해당없음,해당없음,해당없음,2022-10-14,2022-10-15,DOA,,박제(서산버드랜드),Unknown,Unknown,36.06.140,127.28.512,167,,,주소지 부근 민가 건물 옆,충남 금산군 금산읍 용머리길 9,건물옆,전선/건물과의 충돌,유리 구조물 충돌/건물 유리창 충돌,,,,,9.96,9.96,"뇌진탕, 우안 출혈"
2022-1197,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2022-06-09,2022-06-15,방생,충남 예산군 예산읍 대회리 1,,Unknown,Nestling,36.07.141,127.28.514,159,,,공사중인 목조 골조 내,충남 금산군 금성면 음전2길 14-4,건물옆,어미를 잃음(미아),어미를 잃음(미아),,,,,3.4,4,단순 미아
2022-1198,딱새,조강(Aves),참새목,솔딱새과,해당없음,해당없음,해당없음,2022-06-09,2022-06-15,방생,충남 예산군 예산읍 대회리 1,,Unknown,Nestling,36.07.141,127.28.514,159,,,공사중인 목조 골조 내,충남 금산군 금성면 음전2길 14-4,건물옆,어미를 잃음(미아),어미를 잃음(미아),,,,,5.1,4,단순 미아
