접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2021-0664,집박쥐,포유강(Mammalia),박쥐목,애기박쥐과,해당없음,해당없음,해당없음,2021-05-18,2021-05-24,방생,대전광역시 유성구 안산동 산 26-1,,Unknown,0년0월0일,36.469306,127.137056,29,36.41103947,127.2911055,아파트 단지 내부,충청남도 공주시 신관동 180-5,건물옆,기아 및 탈진,기아 및 탈진,36 28 09.5,127 08 13.4,36 24 39.2,127 17 28.1,8,9,기아 및 탈진
2021-0790,멧돼지,포유강(Mammalia),소목,멧돼지과,해당없음,해당없음,해당없음,2021-05-31,2021-05-31,DOA,,기타,Female,0년0월0일,36.353278,127.219611,251,,,건물옆,충청남도 공주시 반포면 학봉리 789,건물옆,어미를 잃음(미아),어미를 잃음(미아),36 21 11.8,127 13 10.6,,,1240,1240,단순 미아
2021-1147,멧돼지,포유강(Mammalia),소목,멧돼지과,해당없음,해당없음,해당없음,2021-06-24,2021-06-24,DOA,,기타,Unknown,0년1월0일,36.3405,127.099778,63,,,산지와 기차 철로 사이의 도로변,충청남도 공주시 이인면 신영리 161-2,도로변,어미를 잃음(미아),어미를 잃음(미아),36 20 25.8,127 05 59.2,,,2020,2020,장액성 설사(장점막탈락 의심)
2021-0202,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-02-16,2021-02-16,안락사,,기타,Male,0년9월0일,36.422028,127.147528,38,,,도로변,충청남도 공주시 계룡면 화은리 463-1,도로변,차량과의 충돌,차량과의 충돌/차량충돌,36 25 19.3,127 08 51.1,,,14600,14600,하악골 및 우측 앞발허리뼈 개방골절
2021-0561,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-05-09,2021-05-09,안락사,,기타,Male,1년0월0일,36.593444,127.162444,139,,,43번 국도 도로변,충청남도 공주시 의당면 덕학리 197-2,도로변,차량과의 충돌,차량과의 충돌,36 35 36.4,127 09 44.8,,,12880,12880,척추 골절 및 양측 앞다리 관절 손상
2021-1507,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-08-11,2021-08-11,DOA,,기타,Unknown,1년4월0일,36.399167,127.145111,53,,,주소지 부근 도로변,충청남도 공주시 계룡면 기산리 170-5,도로변,차량과의 충돌,차량과의 충돌,36 23 57.0,127 08 42.4,,,14300,14300,좌측 경비골 골절
2021-1596,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-09-01,2021-09-01,안락사,,기타,Male,0년3월0일,36.494,127.135972,23,,,도로변,충청남도 공주시 의당면 청룡리 903,도로변,차량과의 충돌,차량과의 충돌,36 29 38.4,127 08 09.5,,,7700,7700,"L6 압박골절, 우측고관절 탈구, 골반골절"
2021-1673,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-09-19,2021-09-19,안락사,,기타,Unknown,0년0월0일,36.365111,127.186861,181,,,갑사 앞 벌판,충청남도 공주시 계룡면 중장리 산 47-1,농경지,기타,기타예초기,36 21 54.4,127 11 12.7,,,1620,1620,좌측상악 심한 열상
2021-1730,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-10-08,2021-10-10,폐사,,기타,Male,1년5월0일,36.596333,127.048083,195,,,하천,충청남도 공주시 사곡면 유룡리 733-18,농경지,인공구조물에 얽힘,인공구조물에 얽힘,36 35 46.8,127 02 53.1,,,13200,13200,불특정 인공구조물에 얽혀 외상을 입고 탈진
2021-1737,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-10-11,2021-10-11,DOA,,기타,Female,1년5월0일,36.575139,126.929694,148,,,도로 옆 수로,충청남도 공주시 유구읍 녹천리 702,기타,인공구조물에 얽힘,인공구조물에 얽힘/밭그물 얽힘,36 34 30.5,126 55 46.9,,,13140,13140,"우측 아킬레스건 단열, 우측 대퇴내측 찰과상"
