접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2020-1276,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2020-07-20,2020-09-29,방생,충청남도 홍성군 홍북읍 갈산리 527-1,,Unknown,Juvenile,36.36575,126.611194,16,36.66980758,126.7069865,농수로 안,충청남도 보령시 죽정동 288-2,"강, 바다",농수로 고립,농수로 고립으로 인한 미아,36 21 56.7,126 36 40.3,36 40 09.2,126 42 23.7,103,206,농수로 고립 미아
2020-1277,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2020-07-20,2020-09-14,안락사,,기타,Unknown,Juvenile,36.36575,126.611194,16,,,농수로 안,충청남도 보령시 죽정동 288-2,"강, 바다",농수로 고립,농수로 고립으로 인한 미아,36 21 56.7,126 36 40.3,,,103,632,농수로 고립 미아
2020-1278,흰뺨검둥오리,조강(Aves),기러기목,오리과,해당없음,해당없음,해당없음,2020-07-20,2021-04-08,안락사,,기타,Unknown,Juvenile,36.36575,126.611194,16,,,농수로 안,충청남도 보령시 죽정동 288-2,"강, 바다",농수로 고립,농수로 고립으로 인한 미아,36 21 56.7,126 36 40.3,,,103,854,농수로 고립미아
2020-1808,뿔논병아리,조강(Aves),논병아리목,논병아리과,해당없음,해당없음,해당없음,2020-11-08,2020-11-09,DOA,,기타,Unknown,Juvenile,36.295778,126.527833,1,,,방조제 옆 해안가,충청남도 보령시 신흑동 2132,"강, 바다",알 수 없는 사고,알 수 없는 사고/,36 17 44.8,126 31 40.2,,,692,692,원인불명으로 인한 연부조직 손상
2020-0649,꿩,조강(Aves),닭목,꿩과,해당없음,해당없음,해당없음,2020-05-29,2020-06-08,방생,충청남도 청양군 정산면 송학리 254-5,,Female,Adult,36.418222,126.503889,15,36.46003141,126.9494448,주소지 인근 도로변,충청남도 보령시 오천면 영보리 621,도로변,차량과의 충돌,차량충돌 추정,36 25 05.6,126 30 14.0,36 27 35.8,126 56 57.9,692,676,등 부위 피부 열상/뇌진탕
2020-0217,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2020-03-11,2020-04-06,방생,충청남도 보령시 웅천읍 독산리 804,,Unknown,Adult,36.240667,126.532278,2,36.24016249,126.531602,,충청남도 보령시 웅천읍 관당리 833-3,도로변,낚시 쓰레기,낚싯줄 꼬임 및 낚싯바늘 관통(낚시줄),36 14 26.4,126 31 56.2,36 14 24.4,126 31 54.2,490,474,낚싯바늘에 의한 아랫부리 연부조직 관통상
2020-0243,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2020-03-24,2020-04-06,방생,충청남도 보령시 웅천읍 독산리 804,,Unknown,Adult,36.250806,126.534833,0,36.24016249,126.531602,무창포항 방조제,충청남도 보령시 웅천읍 관당리 654-15,"강, 바다",낚시 쓰레기,낚시 쓰레기,36 15 02.9,126 32 05.4,36 14 24.4,126 31 53.7,406,406,낚시바늘에 의한 우측 흉근 및 구각부 손상
2020-0463,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2020-05-03,2020-05-04,DOA,,기타,Unknown,Unknown,36.22625,126.080389,3,,,외연도 선착장,충청남도 보령시 오천면 외연도리 160-51,"강, 바다",알 수 없는 사고,,36 13 34.5,126 04 49.4,,,464,464,탈진
2020-1039,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2020-06-25,2020-06-25,안락사,,기타,Unknown,Juvenile,36.247167,126.541667,10,,,무창포해수욕장 인 도로,충청남도 보령시 웅천읍 관당리 731-6,도로변,전선/건물과의 충돌,전선 충돌 추정,36 14 49.8,126 32 30.0,,,552,552,우측 상완골 개방골절 및 주변 조직 부종
2020-1262,괭이갈매기,조강(Aves),도요목,갈매기과,해당없음,해당없음,해당없음,2020-07-18,2020-07-22,폐사,,기타,Unknown,Adult,36.233639,126.530444,7,,,해변가,충청남도 보령시 웅천읍 독산리 795-11,"강, 바다",낚시 쓰레기,낚시줄 삼킴,36 14 01.1,126 31 49.6,,,482,394,낚시바늘 사고 (식도 내 잔존)
