접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2021-1756,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-10-16,2021-10-16,DOA,,기타,Female,3년5월0일,36.181833,127.100611,18,,,나나약국 앞,충청남도 논산시 내동 1128,도로변,차량과의 충돌,차량과의 충돌,36 10 54.6,127 06 02.2,,,18760,18760,차량 충돌에 의한 골반 골절
2021-1827,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-10-30,2021-10-30,DOA,,기타,Unknown,0년0월0일,36.142528,127.030361,7,,,한미식품 인근 도로,충청남도 논산시 강경읍 채운리 520,도로변,차량과의 충돌,차량과의 충돌,36 08 33.1,127 01 49.3,,,0,0,차량 충돌에 의한 다발성 장기 손상 및 쇼크
2021-1990,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-12-01,2021-12-02,안락사,,기타,Female,0년0월0일,36.181306,127.096167,27,,,도로변 맨홀,충청남도 논산시 내동 494-44,도로변,차량과의 충돌,차량과의 충돌,36 10 52.7,127 05 46.2,,,13180,13180,"Lt.골반 골절, 앞다리 굽이관절 심한 열상"
2021-2049,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-12-19,2021-12-19,안락사,,기타,Male,1년7월0일,36.151028,127.101778,13,,,토양4거리에서 연무방향 버스정류장 30m 지난 지점,충청남도 논산시 은진면 토양리 100,도로변,차량과의 충돌,차량과의 충돌,36 09 03.7,127 06 06.4,,,14160,14160,"차량충돌에 의한 L3~L6 단열 및 골절, 골반 골절, Lt. 발목관절 경비골 탈구"
2021-2072,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-12-27,2021-12-27,폐사체,,기타,Male,0년0월0일,36.125528,127.129,37,,,,충청남도 논산시 연무읍 동산리 23-2,도로변,차량과의 충돌,차량과의 충돌,36 07 31.9,127 07 44.4,,,15360,15360,심한 뇌진탕 추정
2021-2073,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2021-12-28,2021-12-28,안락사,,기타,Male,0년0월0일,36.225472,127.086944,8,,,도로변,충청남도 논산시 광석면 이사리 390-2,도로변,차량과의 충돌,차량과의 충돌,36 13 31.7,127 05 13.0,,,14100,14100,차량 충돌에 의한 양측 고관절 탈구 및 우측 후지 열상
2021-0368,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-04-15,2021-04-15,DOA,,기타,Unknown,0년0월0일,36.130556,127.113,26,,,건물옆,충청남도 논산시 연무읍 동산리 520-3,건물옆,기생충 중감염,기생충 중감염/개선충 감염,36 07 50.0,127 06 46.8,,,3360,3360,개선충 중감염
2021-0435,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-04-22,2021-04-22,DOA,,기타,Unknown,0년0월0일,36.183667,127.077583,25,,,대건중학교 부지 내,충청남도 논산시 등화동 5,건물옆,기생충 중감염,기생충 중감염/개선충 감염,36 11 01.2,127 04 39.3,,,2880,2880,개선충 중감염 및 승저증
2021-0938,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-06-07,2021-06-08,방생,충청남도 논산시 부적면 마구평리 322-4 ,,Unknown,0년0월0일,36.212361,127.129528,17,36.21239739,127.1295311,비닐하우스 안,충청남도 논산시 부적면 마구평리 322-4,농경지,어미를 잃음(미아),어미를 잃음(미아),36 12 44.5,127 07 46.3,36 12 44.5,127 07 46.3,0,0,단순 미아
2021-0939,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-06-07,2021-06-08,방생,충청남도 논산시 부적면 마구평리 322-4 ,,Unknown,0년0월0일,36.212361,127.129528,17,36.21239739,127.1295311,비닐하우스 안,충청남도 논산시 부적면 마구평리 322-4,농경지,어미를 잃음(미아),어미를 잃음(미아),36 12 44.5,127 07 46.3,36 12 44.5,127 07 46.3,0,0,단순 미아
2021-0940,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-06-07,2021-06-08,방생,충청남도 논산시 부적면 마구평리 322-4,,Unknown,0년0월0일,36.212361,127.129528,17,36.21239739,127.1295311,비닐하우스 안,충청남도 논산시 부적면 마구평리 322-4,농경지,어미를 잃음(미아),어미를 잃음(미아),36 12 44.5,127 07 46.3,36 12 44.5,127 07 46.3,0,0,단순 미아
2021-0941,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-06-07,2021-06-08,방생,충청남도 논산시 부적면 마구평리 322-4 ,,Unknown,0년0월0일,36.212361,127.129528,17,36.21239739,127.1295311,비닐하우스 안,충청남도 논산시 부적면 마구평리 322-4,농경지,어미를 잃음(미아),어미를 잃음(미아),36 12 44.5,127 07 46.3,36 12 46.2,127 08 11.4,0,0,단순 미아
2021-0942,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-06-07,2021-06-08,방생,충청남도 논산시 부적면 마구평리 322-4 ,,Unknown,0년0월0일,36.212361,127.129528,17,36.21239739,127.1295311,비닐하우스 안,충청남도 논산시 부적면 마구평리 322-4,농경지,어미를 잃음(미아),어미를 잃음(미아),36 12 44.5,127 07 46.3,36 12 44.5,127 07 46.3,0,0,단순 미아
2021-0943,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-06-07,2021-06-08,방생,충청남도 논산시 부적면 마구평리 322-4,,Unknown,0년0월0일,36.212361,127.129528,17,36.21239739,127.1295311,비닐하우스 안,충청남도 논산시 부적면 마구평리 322-4,농경지,어미를 잃음(미아),어미를 잃음(미아),36 12 44.5,127 07 46.3,36 12 44.5,127 07 46.3,0,0,단순 미아
2021-0944,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-06-07,2021-06-08,방생,충청남도 논산시 부적면 마구평리 322-4 ,,Unknown,0년0월0일,36.212361,127.129528,17,36.21239739,127.1295311,비닐하우스 안,충청남도 논산시 부적면 마구평리 322-4,농경지,어미를 잃음(미아),어미를 잃음(미아),36 12 44.5,127 07 46.3,36 12 44.5,127 07 46.3,0,0,단순 미아
2021-0975,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2021-06-08,2021-06-10,DOA,,기타,Unknown,0년0월0일,36.182778,127.110417,47,,,대학교 정문,충청남도 논산시 내동 26,건물옆,기생충 중감염,기생충 중감염/개선충,36 10 58.0,127 06 37.5,,,3400,0,개선충 중감염
