접수번호,동물국문명,강,목,과,천연기념물,멸종위기등급,야생동물보호협약,구조일시,구조결과일자,구조결과,이첩 방생 위치,사체처리,동물성별,동물연령,구조위도,구조경도,구조고도,방생위도,방생경도,발견장소상세,발견주소,발견장소특징,발생원인,발생원인 세부사항,TM구조위도,TM구조경도,TM방생위도,TM방생경도,등록체중,현재체중,임상적최종진단
2022-1549,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2022-07-06,2022-07-09,폐사,,기타,Unknown,Juvenile,36.16.057,127.01.025,30,,,태극제약부여공장 입구 근처 도로변 콘크리트 벽 아래,충남 부여군 초촌면 금백로 821,도로변, - 차량과의 충돌,차량과의 충돌,,,,,15.8,12.8,흉추 5번 아탈구 추정
2022-1691,참새,조강(Aves),참새목,참새과,해당없음,해당없음,해당없음,2022-07-20,2022-09-14,안락사,,폐기,Unknown,Nestling,36.15.535,126.50.408,16,,,농산물품질관리원 건물 옆 보도상,충남 부여군 규암면 합송리 1120,건물옆, - 어미를 잃음(미아),어미를 잃음(미아),,,,,13.4,16.26,단순 미아
2022-2309,후투티,조강(Aves),파랑새목,후투티과,해당없음,해당없음,해당없음,2022-11-14,2022-11-18,안락사,,냉동(신냉동창고)(투입박스(일반)),Unknown,Unknown,36.18.305,126.53.485,30,,,한국전통문화대학교 학생식당 인근 녹지,충남 부여군 규암면 합정리 430,건물옆, - 전선/건물과의 충돌,전선 충돌,,,,,62,68,전선 충둘(추정)에 의한 좌측 우측 요척골 폐쇄골절
2022-0602,왜가리,조강(Aves),황새목,왜가리과,해당없음,해당없음,해당없음,2022-05-07,2022-05-07,폐사체,,냉동(신냉동창고)(투입박스(일반)),Unknown,Adult,36.11.430,126.43.170,41,,,도로 가운데,충남 부여군 옥산면 봉산리 451,도로변, - 전선/건물과의 충돌,전선과의 충돌,,,,,0,0,상완골 개방골절
2022-0235,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2022-02-10,2022-02-12,폐사,,폐기,Female,0년0월0일,36.17.452,126.56.533,22,,,농경지,충남 부여군 부여읍 가증리 166-1,농경지, - 차량과의 충돌,차량과의 충돌,,,,,"19,640","19,640",우측 척골 골절
2022-0331,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2022-03-16,2022-03-16,폐사체,,폐기,Female,0년0월0일,36.16.543,126.55.147,25,,,주소지 도로 가운데,충남 부여군 부여읍 쌍북리 583-4 ,도로변, - 차량과의 충돌,차량과의 충돌,,,,,"14,180","14,180",우측 metacarpal bone open fx. 항문부 심한열상
2022-1284,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2022-06-15,2022-06-23,폐사,,폐기,Unknown,0년0월0일,36.19.332,126.51.281,13,,,고속도로 공사현장 인근 도로변,충남 부여군 은산면 회곡리 88-6,도로변, - 어미를 잃음(미아),어미를 잃음(미아),,,,,"1,076","1,248","미아, 탈진"
2022-1501,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2022-07-01,2022-07-01,안락사,,폐기,Unknown,0년1월0일,36.10.576,126.42.273,83,,,주소지 인근 농로 주변 농경지,충남 부여군 옥산면 대덕리 363,농경지, - 어미를 잃음(미아),어미를 잃음(미아),,,,,"1,218","1,218",선천적 안구 구조물 이상
2022-1799,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2022-07-31,2022-08-01,방생,충남 부여군 세도면 간대리 산 34,,Female,0년2월0일,36.10.133,126.56.452,11,,,우수로,충남 부여군 세도면 청송리 427-2,도로변, - 농수로 고립,농수로 고립,,,,,"6,080","6,080","고립, 저체온증"
2022-1980,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2022-08-29,2022-08-29,안락사,,"냉동(구냉동창고)(성체고라니, 개선충너구리)",Male,2년3월0일,36.18.270,126.50.329,64,,,주소지 인근 29번 국도 하행선 녹지 사면 상,충남 부여군 은산면 은산리 238,도로변, - 차량과의 충돌,차량과의 충돌,,,,,"15,460","15,460","차량 충돌에 의한 L6, 우측 골반 골절"
2022-2215,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2022-10-23,2022-10-23,폐사체,,"냉동(구냉동창고)(성체고라니, 개선충너구리)",Female,0년0월0일,36.16.389,126.53.068,24,,,농경지,충남 부여군 규암면 규암리 65,농경지, - 인공구조물에 얽힘,인공구조물에 얽힘,,,,,"19,400","19,400",좌안 소실 우안 hypopyon
2022-2461,고라니,포유강(Mammalia),소목,사슴과,해당없음,해당없음,해당없음,2022-12-19,2022-12-19,안락사,,"냉동(구냉동창고)(성체고라니, 개선충너구리)",Male,0년0월0일,36.15.244,126.51.043,0,,,도로변,충남 부여군 규암면 노화리 130-6,도로변, - 차량과의 충돌,차량과의 충돌,,,,,"17,500",0,L5 골절
2022-2159,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2022-10-11,2022-10-11,안락사,,냉동(신냉동창고)(선반),Unknown,0년0월0일,36.21.188,126.48.111,95,,,주소지 내 하천변,충남 부여군 은산면 장벌리 563,농경지, - 차량과의 충돌,차량과의 충돌,,,,,"4,600","4,600","목뼈 1번 골절, 좌측 어깨뼈 골절"
2022-2317,너구리,포유강(Mammalia),식육목,개과,해당없음,해당없음,해당없음,2022-11-15,2022-11-16,DOA,,"냉동(구냉동창고)(성체고라니, 개선충너구리)",Male,0년0월0일,36.14.250,126.45.080,59,,,주소지 내 농경지,충남 부여군 홍산면 상천리 258-1,농경지, - 기생충 중감염,기생충 중감염/개선충 중감염,,,,,"3,430","3,430",개선충 중감염
